#separator:tab
#html:false
#tags column:5
#columns:Word	Pinyin	POS	Level	Tags
爱	ài	v.	1	HSK1
八	bā	num.	1	HSK1
爸爸	bàba	n.	1	HSK1
吧	ba	part.	1	HSK1
白天	báitiān	n.	1	HSK1
百	bǎi	num.	1	HSK1
半	bàn	num./adv.	1	HSK1
包子	bāozi	n.	1	HSK1
杯子	bēizi	n.	1	HSK1
本1	běn	meas.	1	HSK1
边	biān	n./suf.	1	HSK1
病	bìng	n./v.	1	HSK1
不	bù	adv.	1	HSK1
不客气	bú kèqi		1	HSK1
不要	búyào	adv.	1	HSK1
菜	cài	n.	1	HSK1
茶	chá	n.	1	HSK1
唱	chàng	v.	1	HSK1
超市	chāoshì	n.	1	HSK1
车	chē	n.	1	HSK1
吃	chī	v.	1	HSK1
出租车	chūzūchē	n.	1	HSK1
穿	chuān	v.	1	HSK1
打电话	dǎ diànhuà		1	HSK1
大	dà	adj.	1	HSK1
大家	dàjiā	pron.	1	HSK1
大学	dàxué	n.	1	HSK1
大学生	dàxuéshēng	n.	1	HSK1
到	dào	v.	1	HSK1
的	de	part.	1	HSK1
第	dì	pref.	1	HSK1
弟弟	dìdi	n.	1	HSK1
点1	diǎn	meas./n.	1	HSK1
店	diàn	n.	1	HSK1
电话	diànhuà	n.	1	HSK1
电脑	diànnǎo	n.	1	HSK1
电视	diànshì	n.	1	HSK1
电影	diànyǐng	n.	1	HSK1
电影院	diànyǐngyuàn	n.	1	HSK1
东西	dōngxi	n.	1	HSK1
都	dōu	adv.	1	HSK1
读	dú	v.	1	HSK1
读书	dúshū	v.	1	HSK1
对	duì	adj./prep./v./meas.	1	HSK1
对不起	duìbuqǐ	v.	1	HSK1
多	duō	adj./v./pron./num./adv.	1	HSK1
多少	duōshao	pron.	1	HSK1
儿子	érzi	n.	1	HSK1
二	èr	num.	1	HSK1
饭	fàn	n.	1	HSK1
饭店	fàndiàn	n.	1	HSK1
房间	fángjiān	n.	1	HSK1
非常	fēicháng	adv.	1	HSK1
飞机	fēijī	n.	1	HSK1
分	fēn	meas./v./n.	1	HSK1
分钟	fēnzhōng	meas.	1	HSK1
高兴	gāoxìng	adj.	1	HSK1
歌	gē	n.	1	HSK1
哥哥	gēge	n.	1	HSK1
个	gè	meas.	1	HSK1
给	gěi	v./prep.	1	HSK1
公司	gōngsī	n.	1	HSK1
工作	gōngzuò	v./n.	1	HSK1
狗	gǒu	n.	1	HSK1
贵	guì	adj.	1	HSK1
国	guó	n.	1	HSK1
还	hái	adv.	1	HSK1
孩子	háizi	n.	1	HSK1
汉语	Hànyǔ	n.	1	HSK1
汉字	Hànzì	n.	1	HSK1
好	hǎo	adj./adv./v.	1	HSK1
好吃	hǎochī	adj.	1	HSK1
好看	hǎokàn	adj.	1	HSK1
好听	hǎotīng	adj.	1	HSK1
好玩儿	hǎowánr	adj.	1	HSK1
号	hào	n./meas.	1	HSK1
喝	hē	v.	1	HSK1
和1	hé	prep./conj.	1	HSK1
很	hěn	adv.	1	HSK1
后	hòu	n.	1	HSK1
回	huí	v./meas.	1	HSK1
会1	huì	v.	1	HSK1
火车	huǒchē	n.	1	HSK1
鸡蛋	jīdàn	n.	1	HSK1
几	jǐ	pron./num.	1	HSK1
家	jiā	n./meas./suf.	1	HSK1
家人	jiārén	n.	1	HSK1
见	jiàn	v.	1	HSK1
件	jiàn	meas.	1	HSK1
饺子	jiǎozi	n.	1	HSK1
叫	jiào	v./prep.	1	HSK1
姐姐	jiějie	n.	1	HSK1
今年	jīnnián	n.	1	HSK1
今天	jīntiān	n.	1	HSK1
九	jiǔ	num.	1	HSK1
觉得	juéde	v.	1	HSK1
开	kāi	v.	1	HSK1
开车	kāichē	v.	1	HSK1
看	kàn	v.	1	HSK1
看病	kànbìng	v.	1	HSK1
看见	kànjiàn	v.	1	HSK1
可以	kěyǐ	v./adj.	1	HSK1
课	kè	n.	1	HSK1
口	kǒu	n./meas.	1	HSK1
块	kuài	meas.	1	HSK1
来	lái	v.	1	HSK1
老师	lǎoshī	n.	1	HSK1
了	le	part.	1	HSK1
冷	lěng	adj.	1	HSK1
里	lǐ	n.	1	HSK1
两1	liǎng	num.	1	HSK1
零	líng	num.	1	HSK1
六	liù	num.	1	HSK1
妈妈	māma	n.	1	HSK1
吗	ma	part.	1	HSK1
买	mǎi	v.	1	HSK1
卖	mài	v.	1	HSK1
忙	máng	adj./v.	1	HSK1
猫	māo	n.	1	HSK1
没关系	méi guānxi		1	HSK1
没事	méishì	v.	1	HSK1
没有	méiyǒu	v./adv.	1	HSK1
妹妹	mèimei	n.	1	HSK1
们	men	suf.	1	HSK1
米饭	mǐfàn	n.	1	HSK1
面包	miànbāo	n.	1	HSK1
面条儿	miàntiáor	n.	1	HSK1
明年	míngnián	n.	1	HSK1
明天	míngtiān	n.	1	HSK1
名字	míngzi	n.	1	HSK1
哪	nǎ	pron.	1	HSK1
哪个	nǎge	pron.	1	HSK1
哪里	nǎlǐ	pron.	1	HSK1
哪儿	nǎr	pron.	1	HSK1
哪些	nǎxiē	pron.	1	HSK1
那	nà	pron./conj.	1	HSK1
那边	nàbiān	pron.	1	HSK1
那个	nàge	pron.	1	HSK1
那里	nàlǐ	pron.	1	HSK1
那儿	nàr	pron.	1	HSK1
那些	nàxiē	pron.	1	HSK1
男	nán	adj.	1	HSK1
男朋友	nánpéngyou	n.	1	HSK1
呢	ne	part.	1	HSK1
能	néng	v.	1	HSK1
你	nǐ	pron.	1	HSK1
你好	nǐ hǎo		1	HSK1
你们	nǐmen	pron.	1	HSK1
年	nián	n./meas.	1	HSK1
您	nín	pron.	1	HSK1
牛奶	niúnǎi	n.	1	HSK1
女	nǚ	adj.	1	HSK1
女儿	nǚ’ér	n.	1	HSK1
女朋友	nǚpéngyou	n.	1	HSK1
女士	nǚshì	n.	1	HSK1
朋友	péngyou	n.	1	HSK1
便宜	piányi	adj.	1	HSK1
漂亮	piàoliang	adj.	1	HSK1
苹果	píngguǒ	n.	1	HSK1
七	qī	num.	1	HSK1
起床	qǐchuáng	v.	1	HSK1
千	qiān	num.	1	HSK1
前	qián	n.	1	HSK1
钱	qián	n.	1	HSK1
请	qǐng	v.	1	HSK1
请问	qǐngwèn	v.	1	HSK1
去	qù	v.	1	HSK1
去年	qùnián	n.	1	HSK1
热	rè	adj.	1	HSK1
人	rén	n.	1	HSK1
认识	rènshi	v.	1	HSK1
日	rì	meas./n.	1	HSK1
三	sān	num.	1	HSK1
商店	shāngdiàn	n.	1	HSK1
上	shàng	n./v.	1	HSK1
上班	shàngbān	v.	1	HSK1
上课	shàngkè	v.	1	HSK1
上午	shàngwǔ	n.	1	HSK1
上学	shàngxué	v.	1	HSK1
少	shǎo	adj./v.	1	HSK1
谁	shéi/shuí	pron.	1	HSK1
什么	shénme	pron.	1	HSK1
生病	shēngbìng	v.	1	HSK1
十	shí	num.	1	HSK1
时候	shíhou	n.	1	HSK1
时间	shíjiān	n.	1	HSK1
事	shì	n.	1	HSK1
是	shì	v.	1	HSK1
手机	shǒujī	n.	1	HSK1
书	shū	n.	1	HSK1
书店	shūdiàn	n.	1	HSK1
水	shuǐ	n.	1	HSK1
水果	shuǐguǒ	n.	1	HSK1
睡	shuì	v.	1	HSK1
睡觉	shuìjiào	v.	1	HSK1
说	shuō	v.	1	HSK1
说话	shuōhuà	v.	1	HSK1
四	sì	num.	1	HSK1
岁	suì	meas.	1	HSK1
他	tā	pron.	1	HSK1
它	tā	pron.	1	HSK1
她	tā	pron.	1	HSK1
他们	tāmen	pron.	1	HSK1
它们	tāmen	pron.	1	HSK1
她们	tāmen	pron.	1	HSK1
太	tài	adv.	1	HSK1
天	tiān	n./meas.	1	HSK1
天气	tiānqì	n.	1	HSK1
听	tīng	v.	1	HSK1
听见	tīngjiàn	v.	1	HSK1
同学	tóngxué	n.	1	HSK1
外	wài	n.	1	HSK1
外边	wàibian	n.	1	HSK1
玩	wán	v.	1	HSK1
晚	wǎn	adj.	1	HSK1
晚饭	wǎnfàn	n.	1	HSK1
晚上	wǎnshang	n.	1	HSK1
喂1	wèi	interj.	1	HSK1
问	wèn	v.	1	HSK1
问题	wèntí	n.	1	HSK1
我	wǒ	pron.	1	HSK1
我们	wǒmen	pron.	1	HSK1
五	wǔ	num.	1	HSK1
午饭	wǔfàn	n.	1	HSK1
喜欢	xǐhuan	v.	1	HSK1
下	xià	n./v./meas.	1	HSK1
下雨	xià yǔ		1	HSK1
下班	xiàbān	v.	1	HSK1
下课	xiàkè	v.	1	HSK1
下午	xiàwǔ	n.	1	HSK1
先生	xiānsheng	n.	1	HSK1
现在	xiànzài	n.	1	HSK1
想	xiǎng	v.	1	HSK1
小	xiǎo	adj./pref.	1	HSK1
小朋友	xiǎopéngyǒu	n.	1	HSK1
小时	xiǎoshí	n.	1	HSK1
小学	xiǎoxué	n.	1	HSK1
小学生	xiǎoxuéshēng	n.	1	HSK1
些	xiē	meas.	1	HSK1
写	xiě	v.	1	HSK1
谢谢	xièxie	v.	1	HSK1
新	xīn	adj.	1	HSK1
星期	xīngqī	n.	1	HSK1
星期日	xīngqīrì	n.	1	HSK1
星期天	xīngqītiān	n.	1	HSK1
休息	xiūxi	v.	1	HSK1
学	xué	v.	1	HSK1
学生	xuéshēng	n.	1	HSK1
学习	xuéxí	v.	1	HSK1
学校	xuéxiào	n.	1	HSK1
雪	xuě	n.	1	HSK1
要	yào	v.	1	HSK1
也	yě	adv.	1	HSK1
一	yī	num.	1	HSK1
衣服	yīfu	n.	1	HSK1
医生	yīshēng	n.	1	HSK1
医院	yīyuàn	n.	1	HSK1
一半	yíbàn	num.	1	HSK1
一下	yíxià	数量/adv.	1	HSK1
椅子	yǐzi	n.	1	HSK1
一点儿	yìdiǎnr	数量	1	HSK1
一些	yìxiē	数量	1	HSK1
有	yǒu	v.	1	HSK1
有的	yǒude	pron.	1	HSK1
有点儿	yǒudiǎnr	adv.	1	HSK1
有些	yǒuxiē	pron./adv.	1	HSK1
雨	yǔ	n.	1	HSK1
元	yuán	meas.	1	HSK1
月	yuè	n.	1	HSK1
再	zài	adv.	1	HSK1
在	zài	v./prep./adv.	1	HSK1
再见	zàijiàn	v.	1	HSK1
早	zǎo	adj.	1	HSK1
早饭	zǎofàn	n.	1	HSK1
早上	zǎoshang	n.	1	HSK1
怎么	zěnme	pron.	1	HSK1
怎么样	zěnmeyàng	pron.	1	HSK1
找	zhǎo	v.	1	HSK1
这	zhè	pron.	1	HSK1
这边	zhèbiān	pron.	1	HSK1
这个	zhège	pron.	1	HSK1
这里	zhèlǐ	pron.	1	HSK1
这儿	zhèr	pron.	1	HSK1
这些	zhèxiē	pron.	1	HSK1
真	zhēn	adv./adj.	1	HSK1
正在	zhèngzài	adv.	1	HSK1
只	zhī	meas.	1	HSK1
知道	zhīdào	v.	1	HSK1
中国	Zhōngguó	n.	1	HSK1
中文	Zhōngwén	n.	1	HSK1
中午	zhōngwǔ	n.	1	HSK1
中学	zhōngxué	n.	1	HSK1
中学生	zhōngxuéshēng	n.	1	HSK1
住	zhù	v.	1	HSK1
桌子	zhuōzi	n.	1	HSK1
字	zì	n.	1	HSK1
昨天	zuótiān	n.	1	HSK1
坐	zuò	v.	1	HSK1
做	zuò	v.	1	HSK1
做饭	zuò fàn		1	HSK1
啊	a	part.	2	HSK2
爱好	àihào	v./n.	2	HSK2
白色	báisè	n.	2	HSK2
班	bān	n./meas.	2	HSK2
帮	bāng	v.	2	HSK2
帮忙	bāngmáng	v.	2	HSK2
包	bāo	v./n./meas.	2	HSK2
本子	běnzi	n.	2	HSK2
比	bǐ	v./prep.	2	HSK2
笔	bǐ	n./meas.	2	HSK2
别1	bié	adv.	2	HSK2
不错	búcuò	adj.	2	HSK2
不好意思	bù hǎoyìsi		2	HSK2
长	cháng	adj.	2	HSK2
车站	chēzhàn	n.	2	HSK2
出	chū	v.	2	HSK2
出国	chūguó	v.	2	HSK2
出来	chūlái	v.	2	HSK2
出门	chūmén	v.	2	HSK2
出去	chūqù	v.	2	HSK2
床	chuáng	n.	2	HSK2
词	cí	n.	2	HSK2
次	cì	meas./adj.	2	HSK2
从	cóng	prep./adv.	2	HSK2
从小	cóngxiǎo	adv.	2	HSK2
错	cuò	adj.	2	HSK2
打1	dǎ	v.	2	HSK2
打车	dǎchē	v.	2	HSK2
打开	dǎkāi	v.	2	HSK2
但	dàn	conj./adv.	2	HSK2
但是	dànshì	conj.	2	HSK2
得	de	part.	2	HSK2
地	de	part.	2	HSK2
等1	děng	v./prep.	2	HSK2
地铁	dìtiě	n.	2	HSK2
点2	diǎn	v./n./meas.	2	HSK2
懂	dǒng	v.	2	HSK2
动	dòng	v.	2	HSK2
饭馆	fànguǎn	n.	2	HSK2
飞	fēi	v.	2	HSK2
高	gāo	adj./n.	2	HSK2
高中	gāozhōng	n.	2	HSK2
告诉	gàosu	v.	2	HSK2
个子	gèzi	n.	2	HSK2
跟	gēn	prep./conj./n./v.	2	HSK2
公交车	gōngjiāochē	n.	2	HSK2
过	guò	v.	2	HSK2
过来	guòlái	v.	2	HSK2
过年	guònián	v.	2	HSK2
过去1	guòqù	v.	2	HSK2
过	guo	part.	2	HSK2
还是	háishi	adv./conj.	2	HSK2
黑色	hēisè	n.	2	HSK2
红茶	hóngchá	n.	2	HSK2
红色	hóngsè	n.	2	HSK2
后面	hòumiàn	n.	2	HSK2
花1	huā	v.	2	HSK2
花2	huā	n./adj.	2	HSK2
画	huà	v./n.	2	HSK2
坏	huài	adj.	2	HSK2
回来	huílái	v.	2	HSK2
回去	huíqù	v.	2	HSK2
机场	jīchǎng	n.	2	HSK2
机票	jīpiào	n.	2	HSK2
记得	jìde	v.	2	HSK2
间	jiān	meas./n.	2	HSK2
教	jiāo	v.	2	HSK2
教室	jiàoshì	n.	2	HSK2
介绍	jièshào	v.	2	HSK2
进	jìn	v.	2	HSK2
近	jìn	adj.	2	HSK2
进来	jìnlái	v.	2	HSK2
进去	jìnqù	v.	2	HSK2
经常	jīngcháng	adv.	2	HSK2
酒店	jiǔdiàn	n.	2	HSK2
就	jiù	adv./prep.	2	HSK2
咖啡	kāfēi	n.	2	HSK2
开始	kāishǐ	v./n.	2	HSK2
开学	kāixué	v.	2	HSK2
考	kǎo	v.	2	HSK2
考试	kǎoshì	v./n.	2	HSK2
可能	kěnéng	adj./n./v.	2	HSK2
裤子	kùzi	n.	2	HSK2
快	kuài	adj./adv.	2	HSK2
快乐	kuàilè	adj.	2	HSK2
快要	kuàiyào	adv.	2	HSK2
篮球	lánqiú	n.	2	HSK2
累	lèi	adj./v.	2	HSK2
离	lí	v.	2	HSK2
里面	lǐmiàn	n.	2	HSK2
楼	lóu	n.	2	HSK2
路	lù	n.	2	HSK2
路上	lùshang	n.	2	HSK2
旅游	lǚyóu	v.	2	HSK2
绿茶	lǜchá	n.	2	HSK2
绿色	lǜsè	n./adj.	2	HSK2
慢	màn	adj.	2	HSK2
没意思	méi yìsi		2	HSK2
每	měi	pron./adv.	2	HSK2
门	mén	n.	2	HSK2
门口	ménkǒu	n.	2	HSK2
门票	ménpiào	n.	2	HSK2
面1	miàn	suf./v./n./meas.	2	HSK2
名	míng	n./meas.	2	HSK2
拿	ná	v.	2	HSK2
那么	nàme	pron./conj.	2	HSK2
那样	nàyàng	pron.	2	HSK2
奶茶	nǎichá	n.	2	HSK2
奶奶	nǎinai	n.	2	HSK2
男孩儿	nánháir	n.	2	HSK2
鸟	niǎo	n.	2	HSK2
女孩儿	nǚháir	n.	2	HSK2
旁边	pángbiān	n.	2	HSK2
跑	pǎo	v.	2	HSK2
跑步	pǎobù	v.	2	HSK2
票	piào	n.	2	HSK2
妻子	qīzi	n.	2	HSK2
起来	qǐlái	v.	2	HSK2
前面	qiánmiàn	n.	2	HSK2
晴	qíng	adj.	2	HSK2
球	qiú	n.	2	HSK2
让	ràng	v./prep.	2	HSK2
肉	ròu	n.	2	HSK2
商场	shāngchǎng	n.	2	HSK2
上来	shànglái	v.	2	HSK2
上面	shàngmiàn	n.	2	HSK2
上去	shàngqù	v.	2	HSK2
上网	shàngwǎng	v.	2	HSK2
身体	shēntǐ	n.	2	HSK2
生日	shēngrì	n.	2	HSK2
时	shí	n./meas.	2	HSK2
事情	shìqing	n.	2	HSK2
手	shǒu	n.	2	HSK2
手表	shǒubiǎo	n.	2	HSK2
书包	shūbāo	n.	2	HSK2
舒服	shūfu	adj.	2	HSK2
送	sòng	v.	2	HSK2
虽然	suīrán	conj.	2	HSK2
所以	suǒyǐ	conj.	2	HSK2
疼	téng	adj./v.	2	HSK2
踢	tī	v.	2	HSK2
题	tí	n.	2	HSK2
条	tiáo	meas./n.	2	HSK2
跳舞	tiàowǔ	v.	2	HSK2
头	tóu	n./meas./adj.	2	HSK2
外国	wàiguó	n.	2	HSK2
外面	wàimiàn	n.	2	HSK2
完	wán	v.	2	HSK2
万	wàn	num.	2	HSK2
往	wǎng	v./prep.	2	HSK2
网上	wǎngshang	n.	2	HSK2
忘	wàng	v.	2	HSK2
位	wèi	meas.	2	HSK2
为什么	wèi shénme		2	HSK2
希望	xīwàng	v.	2	HSK2
洗	xǐ	v.	2	HSK2
洗手间	xǐshǒujiān	n.	2	HSK2
下来	xiàlái	v.	2	HSK2
下面	xiàmiàn	n.	2	HSK2
下去	xiàqù	v.	2	HSK2
小孩儿	xiǎoháir	n.	2	HSK2
小时候	xiǎoshíhou	n.	2	HSK2
笑	xiào	v.	2	HSK2
姓	xìng	n./v.	2	HSK2
姓名	xìngmíng	n.	2	HSK2
颜色	yánsè	n.	2	HSK2
眼睛	yǎnjing	n.	2	HSK2
药	yào	n.	2	HSK2
药店	yàodiàn	n.	2	HSK2
爷爷	yéye	n.	2	HSK2
一会儿	yíhuìr	数量/adv.	2	HSK2
已经	yǐjīng	adv.	2	HSK2
一起	yìqǐ	adv.	2	HSK2
意思	yìsi	n.	2	HSK2
阴	yīn	adj.	2	HSK2
因为	yīnwèi	prep./conj.	2	HSK2
游	yóu	v.	2	HSK2
游泳	yóuyǒng	v.	2	HSK2
有意思	yǒu yìsi		2	HSK2
有时	yǒushí	adv.	2	HSK2
右	yòu	n.	2	HSK2
右边	yòubian	n.	2	HSK2
鱼	yú	n.	2	HSK2
远	yuǎn	adj.	2	HSK2
运动	yùndòng	v./n.	2	HSK2
站1	zhàn	n.	2	HSK2
丈夫	zhàngfu	n.	2	HSK2
这么	zhème	pron.	2	HSK2
这样	zhèyàng	pron.	2	HSK2
着	zhe	part.	2	HSK2
正	zhèng	adv./adj.	2	HSK2
周	zhōu	n./meas.	2	HSK2
准备	zhǔnbèi	v.	2	HSK2
自己	zìjǐ	pron.	2	HSK2
走	zǒu	v.	2	HSK2
走路	zǒulù	v.	2	HSK2
足球	zúqiú	n.	2	HSK2
最	zuì	adv.	2	HSK2
左	zuǒ	n.	2	HSK2
左边	zuǒbian	n.	2	HSK2
阿姨	āyí	n.	3	HSK3
矮	ǎi	adj.	3	HSK3
爱人	àiren	n.	3	HSK3
安静	ānjìng	adj.	3	HSK3
安全	ānquán	adj.	3	HSK3
把	bǎ	meas./prep.	3	HSK3
搬	bān	v.	3	HSK3
班级	bānjí	n.	3	HSK3
搬家	bānjiā	v.	3	HSK3
办	bàn	v.	3	HSK3
办法	bànfǎ	n.	3	HSK3
办公室	bàngōngshì	n.	3	HSK3
半天	bàntiān	数量	3	HSK3
帮助	bāngzhù	v.	3	HSK3
饱	bǎo	adj.	3	HSK3
报纸	bàozhǐ	n.	3	HSK3
北	běi	n.	3	HSK3
北方	běifāng	n.	3	HSK3
被	bèi	prep.	3	HSK3
笔记	bǐjì	n.	3	HSK3
比较	bǐjiào	v./prep./adv.	3	HSK3
笔记本	bǐjìběn	n.	3	HSK3
比如	bǐrú	v.	3	HSK3
比赛	bǐsài	v./n.	3	HSK3
必须	bìxū	adv.	3	HSK3
变	biàn	v.	3	HSK3
遍	biàn	meas.	3	HSK3
变成	biànchéng	v.	3	HSK3
变化	biànhuà	v./n.	3	HSK3
表演	biǎoyǎn	v.	3	HSK3
别的	biéde	pron.	3	HSK3
别人	biérén	pron.	3	HSK3
宾馆	bīnguǎn	n.	3	HSK3
冰	bīng	n./v.	3	HSK3
冰激凌	bīngjīlíng	n.	3	HSK3
冰箱	bīngxiāng	n.	3	HSK3
病人	bìngrén	n.	3	HSK3
不但	búdàn	conj.	3	HSK3
不见	bújiàn	v.	3	HSK3
不用	búyòng	adv.	3	HSK3
不同	bù tóng		3	HSK3
不久	bùjiǔ	adj.	3	HSK3
不行	bùxíng	v./adj.	3	HSK3
才1	cái	adv.	3	HSK3
菜单	càidān	n.	3	HSK3
参加	cānjiā	v.	3	HSK3
草	cǎo	n.	3	HSK3
草地	cǎodì	n.	3	HSK3
层	céng	meas.	3	HSK3
查	chá	v.	3	HSK3
差	chà	adj./v.	3	HSK3
差不多	chàbuduō	adj./adv.	3	HSK3
尝	cháng	v.	3	HSK3
常	cháng	adv.	3	HSK3
常见	cháng jiàn		3	HSK3
常用	cháng yòng		3	HSK3
常常	chángcháng	adv.	3	HSK3
衬衫	chènshān	n.	3	HSK3
成绩	chéngjì	n.	3	HSK3
城市	chéngshì	n.	3	HSK3
迟到	chídào	v.	3	HSK3
出发	chūfā	v.	3	HSK3
出生	chūshēng	v.	3	HSK3
出院	chūyuàn	v.	3	HSK3
初中	chūzhōng	n.	3	HSK3
